county,city,zipcode,address,state,rent,latitude,longitude,cemetery_dist_miles,nationalhighway_miles,railline_miles,starbucks_miles,walmart_miles,hospital_miles,physician_dist_miles,dentist_dist_miles,opt_dist_miles,vet_dist_miles,farmers_miles,time,bed,bath,halfbath,sqft,property_type,garage,yearbuilt,pool,fireplace,patio,lotsize,Census_MedianIncome,CollegeGrads,WhiteCollar,Schools,Unemployment,EmploymentDiversity,Census_Vacancy,Crime_Rate,HomePrice
NA,PERKASIE,NA,1 N 7th St Bucks County,PA,1000,40.37471,-75.295586,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,1,1,1,700,Condo,0,2015,0,0,0,1430.235816,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
NA,UPPER DARBY,NA,this property Delaware County,PA,750,39.966778,-75.283195,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,1,1,1,400,Condo,0,1960,0,0,0,817.2776091,54476.09,21,66.57,48.3,5.1,3.48,3.42,2.4,158051
ADAMS,NEW OXFORD,17350,77 FIDDLER DR,PA,1000,39.867585,-77.060614,4.309112313,0.327199428,1.588345031,4.587167643,5.397561643,5.792254567,0.843592672,3.705677332,0.789325715,69.28810932,6.074904906,2015.75,3,1,1,1120,Condo,0,1960,0,0,0,209.3333333,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,128402
ADAMS,MC SHERRYSTOWN,17344,NA,PA,1825,25.76168,-80.19179,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,1,1,1,850,NA,0,1960,0,0,0,2308.809246,40197.41,5,43.15,71.2,4,3.16,1.76,1.8,158051
ADAMS,MC SHERRYSTOWN,17344,2701 NE 7th St #1300,PA,635,29.194397,-82.100209,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,1,1,1,1044,NA,1,1960,0,0,0,2124.921784,40197.41,5,43.15,71.2,4,3.16,1.76,1.8,158051
ADAMS,GETTYSBURG,17325,261 LONGSTREET DR,PA,1700,39.81034,-77.18905,2.269513129,0.325946294,2.94372084,10.69079243,2.446616607,2.62321962,0.784656558,2.3880087,2.233552041,76.23523128,1.30909171,2015.5,4,2,1,1724,SFR,1,1960,0,1,1,16553,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,247852
ADAMS,GETTYSBURG,17325,327 HANOVER ST,PA,1200,39.830685,-77.220179,0.969668712,0.011423569,0.850718035,12.25347738,1.267341677,0.896168288,0.081020318,0.225037108,0.11967932,77.81356702,0.569621629,2015.75,4,2,1,2166,SFR,0,1925,0,0,0,10890,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,216645
ADAMS,ORRTANNA,17353,25 High St Adams County,PA,1600,39.89324,-77.3562,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,7,2,1,2630,SFR,0,1960,0,0,0,1430.235816,62190.55,18,52.04,63,4,3.59,2.53,1.8,158051
ADAMS,NEW OXFORD,17350,10 S PETERS ST,PA,1340,39.863903,-77.053997,3.875782195,0.030614852,1.156427788,4.153920051,4.964521579,5.364294023,0.510428856,3.332683613,0.464943468,68.93966582,5.653636278,2016.25,3,1,1,2596,SFR,1,1960,0,1,0,3920,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,149541
ADAMS,GARDNERS,17324,142 Pine Grove Road,PA,1425,40.069954,-77.209385,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,3,2,1,1350,NA,1,1960,0,0,1,3522.466495,54925.47,10,47.11,55.9,4,3.36,1.36,1.8,158051
ADAMS,NEW OXFORD,17350,26 ANTLER LN,PA,975,39.921832,-77.053267,6.959402531,0.073060471,4.685734135,7.190179356,7.888485067,8.665616959,3.792608895,4.199055615,3.85508247,68.97122467,9.005627526,2015.5,3,1,1,1120,SFR,1,1960,0,0,1,15246,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,163884
ADAMS,BIGLERVILLE,17307,1355 HILLTOWN RD,PA,1400,39.889531,-77.343458,4.235202235,0.208522573,6.743958521,14.9865486,8.055949406,7.304859678,0.292540739,5.52401853,7.409514217,84.28658776,7.163912964,2015.75,3,2,1,1792,SFR,0,1860,0,0,0,2872.730796,56449,13,53.68,58,4,3.52,2.75,0,250652
ADAMS,GETTYSBURG,17325,216 E LINCOLN AVE,PA,1695,39.837162,-77.227889,0.877322377,0.029833161,0.505613459,12.67130933,1.368214645,0.95763291,0.35192005,0.404837618,0.568066023,78.20510842,0.441827169,2015.25,4,2,1,2217,SFR,1,1963,0,0,0,9583,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,275674
ADAMS,EAST BERLIN,17316,274 LAKE MEADE DR,PA,2000,39.978741,-77.052637,4.498246055,1.566422133,8.404988181,10.80597179,11.41875768,12.32195198,1.254592574,4.872748299,7.775242629,69.23256943,9.307703106,2015.75,4,2,1,1656,SFR,0,1984,0,0,0,2872.730796,65118.76,14,59.95,59.6,4,3.45,1.12,0,299064
ADAMS,GETTYSBURG,17325,"140,Carlisle St,Gettysburg",PA,1150,39.833202,-77.231109,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,2,2,1,920,Condo,0,1960,0,0,0,5304.131683,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,ARENDTSVILLE,17303,NA,PA,1300,31.149953,-81.491489,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,3,2,1,1775,NA,0,1960,0,0,0,2758.311931,47499,10,59.74,53.7,4,3.45,2.28,1.8,158051
ADAMS,GETTYSBURG,17325,"1509,Fairfield Rd,",PA,900,39.823238,-77.26691,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,2,1,1,1000,SFR,0,1960,0,0,0,5107.985057,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,GETTYSBURG,17325,NA,PA,1575,27.336435,-82.530653,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,1,1,1,563,NA,0,1960,0,0,1,1879.738501,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,NEW OXFORD,17350,270 OXFORD RD,PA,1350,39.868094,-77.05865,4.244530385,0.322980863,1.520807646,4.521884549,5.330992421,5.743813958,0.745872298,3.694781191,0.691222142,69.18369472,6.033908049,2015.75,3,2,1,1250,SFR,1,2008,0,0,0,2872.730796,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,154572
ADAMS,GETTYSBURG,17325,NA,PA,830,30.438256,-84.280733,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,1,1,1,989,NA,0,1960,0,0,1,3626.66939,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,LITTLESTOWN,17340,82 N QUEEN ST,PA,975,39.746491,-77.090284,0.468113962,0.0014884,5.877736399,7.105811252,6.958974732,7.128902103,0.161779841,0.182168899,6.00895794,71.41992642,6.757623221,2015.5,3,1,1,3285,SFR,0,1960,0,0,0,6970,64351.33,14,51.81,68.9,4,3.51,0.66,1.8,179375
ADAMS,NEW OXFORD,17350,"412,Lincoln Way W,New Oxford",PA,2200,39.862262,-77.064418,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,6,4,2,2400,Duplex,0,1960,0,0,0,1021.597011,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,158051
ADAMS,GETTYSBURG,17325,140 Carlisle St,PA,1150,39.833042,-77.23153,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,2,2,1,920,Condo,0,2011,0,0,0,4609.445715,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,NEW OXFORD,17350,1 Maggie Lynne Ct,PA,975,39.861176,-77.062065,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,3,2,2,1200,Condo,0,2005,0,0,0,7355.498482,56228.5,10,45.26,63.9,4,3.27,1.61,1.8,158051
ADAMS,FAIRFIELD,17320,"16,Water St,Fairfield",PA,945,39.787596,-77.365891,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,3,1,1,1369,SFR,0,1960,0,0,1,2247.513425,68540.07,19,56.92,57.7,4,3.61,1.1,1.85,158051
ADAMS,FAIRFIELD,17320,"53,Walnut Trl,Carroll Valley",PA,1350,39.72904,-77.380571,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,3,2,1,1700,SFR,1,1960,0,0,0,4290.707448,68540.07,19,56.92,57.7,4,3.61,1.1,1.85,158051
ADAMS,GETTYSBURG,17325,14 GARRISON FALLS DR,PA,2655,39.730374,-77.217165,3.2051102,3.177329333,7.1290623,13.92625545,7.878560121,6.565611087,6.097465685,6.739116196,6.501575893,78.24814807,4.473468887,2016.25,4,3,1,3648,SFR,1,2007,0,1,1,8712,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,403449
ADAMS,GETTYSBURG,17325,107 RIDGE AVE,PA,950,39.829427,-77.241339,0.154961732,0.001068752,0.317833675,13.37635667,2.236511441,0.484491965,0.352941572,0.228765163,0.586833938,78.93896699,0.53270757,2015.75,3,1,1,1116,Condo,0,1970,0,0,0,436,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,116766
ADAMS,GETTYSBURG,17325,100 Chambersburg St Adams County,PA,1000,39.830765,-77.233505,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,3,2,1,1200,Condo,0,1960,0,0,0,71.51179079,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,GARDNERS,17324,"985,Myerstown Rd,",PA,890,40.042918,-77.187924,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,1,1,1,1200,SFR,0,1960,0,1,1,3882.068643,54925.47,10,47.11,55.9,4,3.36,1.36,1.8,158051
ADAMS,MC SHERRYSTOWN,17344,NA,PA,1806,25.76168,-80.19179,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,1,1,1,948,NA,0,1960,0,0,0,2043.194023,40197.41,5,43.15,71.2,4,3.16,1.76,1.8,158051
ADAMS,GETTYSBURG,17325,201 EWELL AVE,PA,1400,39.84622,-77.218592,1.672613618,0.146035118,1.285908625,12.2187158,0.808262361,1.739248321,0.700554084,1.014623144,0.960577368,77.69235598,1.225391138,2015.75,4,2,1,1700,SFR,1,1962,0,0,0,13939,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,176599
ADAMS,LITTLESTOWN,17340,NA,PA,1200,39.744544,-77.088039,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,2,1,1,926,NA,1,1960,0,1,0,1467.013308,64351.33,14,51.81,68.9,4,3.51,0.66,1.8,158051
ADAMS,GETTYSBURG,17325,NA,PA,775,39.830929,-77.231096,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,2,1,1,1100,NA,0,1960,0,0,0,1150.318235,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,ARENDTSVILLE,17303,NA,PA,1100,31.149953,-81.491489,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,3,2,1,1500,NA,1,1960,0,0,1,2020.718888,47499,10,59.74,53.7,4,3.45,2.28,1.8,158051
ADAMS,ARENDTSVILLE,17303,NA,PA,975,31.149953,-81.491489,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,3,2,1,1400,NA,0,1960,0,0,0,2989.192855,47499,10,59.74,53.7,4,3.45,2.28,1.8,158051
ADAMS,GETTYSBURG,17325,146 Pape Aly Adams County,PA,650,39.827854,-77.23441,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2016.25,1,1,1,615,Condo,0,1960,0,0,0,6711.892364,56656.34,17,57.03,62.7,4,3.53,2.24,3.8,158051
ADAMS,ARENDTSVILLE,17303,NA,PA,875,34.297879,-83.824066,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.5,2,2,1,1090,NA,1,1960,0,0,0,2451.832827,47499,10,59.74,53.7,4,3.45,2.28,1.8,158051
ALLEGHENY,PITTSBURGH,15212,3950 BRANDON RD,PA,1500,40.488365,-80.039384,0.329313015,0.635485156,0.686913959,3.120194755,3.534137673,2.865830308,0.305162337,0.262030395,0.130790669,3.326956259,1.929732133,2015.5,3,1,1,1396,SFR,1,1960,0,1,1,3171,48696.6,21,65.37,55.8,5,3.56,3.9,15.12777704,115820
ALLEGHENY,PITTSBURGH,15224,Bloomfield Allegheny County,PA,750,40.46035,-79.95018,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.75,1,1,1,800,Condo,0,1960,0,0,0,2451.832827,39486.44,27,74.03,15.9,5.1,3.51,6.71,15.12777704,158051
ALLEGHENY,PITTSBURGH,15226,236 LONDON TOWNE DR,PA,1700,40.410162,-80.008844,0.795934685,0.142561087,0.58874413,1.829098532,4.836413872,2.175735083,0.689691697,0.848978469,1.268046333,8.230279773,1.710876962,2015.5,2,2,1,1700,SFR,1,1960,0,1,1,1743,52300.98,18,65.96,44.7,5,3.51,1.68,3.201270506,132164
ALLEGHENY,PITTSBURGH,15219,3047 CENTRE AVE,PA,3900,40.44915,-79.963009,1.437977345,0.255150846,0.742603577,0.519128202,4.711343237,0.188628208,0.168709072,0.440826923,0.518025557,5.977328093,0.972973778,2016.25,8,2,1,3200,Duplex,1,1960,0,0,0,7000,29325.92,19,42.01,12.4,5,3.29,8.74,15.12777704,115672
ALLEGHENY,PITTSBURGH,15212,3700 BRIGHTON RD,PA,1700,40.483243,-80.035156,0.728922492,0.548181203,0.592849222,3.281206302,3.948284782,2.453806293,0.087961315,0.120000596,0.44007414,3.530313572,1.782883741,2015.75,4,2,1,2600,Duplex,1,1930,0,1,0,5500,48696.6,21,65.37,55.8,5,3.56,3.9,15.12777704,162816
ALLEGHENY,PITTSBURGH,15210,1802 ARLINGTON AVE,PA,900,40.417434,-79.982471,0.08391753,0.771219486,0.691115571,0.783570221,5.32308147,1.297993358,0.241098983,0.750514452,0.212587464,7.824357638,0.791656217,2015.25,3,1,1,1650,SFR,0,1960,0,0,0,2850,31157.08,5,55.94,17.2,5,3.48,8.8,15.12777704,52493
ALLEGHENY,PITTSBURGH,15229,155 CHALFONTE AVE,PA,1050,40.520364,-80.036839,1.020645633,0.89983456,2.667512329,1.538183886,1.873304315,3.751087109,0.061664824,0.150543765,1.064807727,1.734813371,4.02174447,2015.5,2,2,1,3500,Duplex,0,1960,0,0,0,3300,61889.32,27,73.81,75.8,5.1,3.57,1.62,2.17291923,83272
ALLEGHENY,LEETSDALE,15056,623 BEAVER ST,PA,1200,40.56191,-80.20376,2.103947643,0.164576504,0.191835648,1.877518897,6.832922585,1.874266445,1.093856821,1.331233968,1.851444526,10.62784463,1.773842364,2015.75,2,2,1,900,SFR,1,1960,0,0,0,2498,41695.42,24,61.97,79.8,5.1,3.53,4.8,0.8,69180
ALLEGHENY,PITTSBURGH,15228,337 JONQUIL PL,PA,1400,40.378123,-80.031659,0.570167663,0.609024968,0.561053716,1.609096941,2.731538724,1.801852577,0.334710986,0.700009323,0.697875332,10.52966801,0.893377746,2015.75,2,1,1,1047,Condo,1,1960,0,1,0,4830,79848.34,45,87.1,73.7,5,3.56,1.04,1.041800576,159032
ALLEGHENY,PITTSBURGH,15236,912 HOLLY LYNNE DR,PA,1800,40.334419,-79.999427,1.08426964,0.114764425,0.19825408,1.219967676,1.351891065,3.669891435,0.618687507,0.728045731,1.107216525,7.265555178,0.956818004,2015.75,4,2,1,1940,SFR,1,1955,0,1,0,9294,59252.95,23,67.95,49.7,5.1,3.56,1.2,2.17291923,170184
ALLEGHENY,PITTSBURGH,15229,173 6TH AVE,PA,995,40.527177,-80.022684,1.264990905,0.70313734,3.215172587,0.669907948,2.380236405,3.142065252,0.201045414,0.628516842,0.761052652,0.890523856,3.871476717,2015.75,3,1,1,1183,SFR,0,1950,0,0,0,4008,61889.32,27,73.81,75.8,5.1,3.57,1.62,2.17291923,64965
ALLEGHENY,PITTSBURGH,15206,"5242,Stanton Ave,Pittsburgh",PA,765,40.475101,-79.932297,1.019585768,0.206222052,0.629887583,1.348776018,3.326396782,1.584675265,0.229125588,0.472933038,0.651244253,7.323724666,1.094678084,2015.25,1,1,1,550,Condo,0,1960,0,0,0,3064.791034,36710.45,31,72.83,32.5,5.1,3.35,6.49,15.12777704,158051
ALLEGHENY,PITTSBURGH,15206,5800 STANTON AVE,PA,799,40.470053,-79.923064,1.301998281,0.431090733,0.939729127,0.66991432,2.162701638,1.363199493,0.109523456,0.150655484,1.102626101,5.974837754,0.379831923,2016.25,1,1,1,600,Condo,0,1960,0,0,0,9563,28137.29,23,64.44,30.8,5,3.16,14.45,15.12777704,158051
ALLEGHENY,PITTSBURGH,15210,2437 SPRING ST,PA,950,40.416137,-79.971727,0.499837105,0.647089555,0.62741287,1.083553379,5.078359598,1.553891345,0.72932693,0.927773197,0.777780594,8.020354678,0.988573053,2016.25,3,2,1,1891,SFR,0,1960,0,0,0,1870,42499,5,33.03,14.3,5,3.39,4.03,15.12777704,56607
ALLEGHENY,BRADDOCK,15104,1127 JONES AVE,PA,1100,40.408436,-79.85635,0.138987284,0.665886407,0.871920272,2.818161422,2.286979934,3.966261749,0.611962903,0.887184897,0.764093213,9.687812252,3.467033013,2015.25,4,2,1,1345,Duplex,0,1960,0,1,0,6825,24724.51,6,52.88,27.5,5,3.35,13,15.12777704,54463
ALLEGHENY,PITTSBURGH,15212,100 ANDERSON ST,PA,1633,40.448609,-79.999344,1.825972562,0.062224343,0.136949899,0.413858458,6.394294733,0.625236648,0.041294643,0.328837581,0.40344655,5.583245381,0.552834858,2015.5,1,1,1,679,NA,1,1960,0,1,1,2872.730796,79016.85,62,83.76,15.5,5,3.02,22,15.12777704,158051
ALLEGHENY,PITTSBURGH,15206,817 N NEGLEY AVE,PA,1050,40.472221,-79.926357,1.189261542,0.527283696,1.151667307,0.850017475,2.23203305,1.290606289,0.069664288,0.286397722,1.193038691,5.746136818,0.580968919,2016.25,2,1,1,1000,Condo,0,1925,0,0,0,6750,48079.35,39,75.2,44.4,5,3.22,4,15.12777704,158051
ALLEGHENY,PITTSBURGH,15203,140 PIUS ST,PA,2200,40.424166,-79.979785,0.443352342,0.300282504,0.481805855,0.385550466,5.723377891,0.874666805,0.145748657,0.372042587,0.29839977,7.390359728,0.322187294,2015.5,4,2,1,2600,Duplex,0,1960,0,0,1,1800,38129.08,19,68.4,19.2,5,3.4,9.4,15.12777704,139659
ALLEGHENY,PITTSBURGH,15222,908 910 PENN AVE,PA,1250,40.443647,-79.997801,1.866203604,0.015857834,0.2551696,0.214450875,6.475040196,0.836629966,0.027933678,0.027933678,0.103640371,5.93076471,0.232915411,2015.25,1,1,1,613,Condo,0,1960,0,0,0,10032,53190.48,49,92.89,12.1,5,3.41,10.53,1.041800576,158051
ALLEGHENY,PITTSBURGH,15206,5501 BLACK ST,PA,1800,40.46984,-79.929868,1.035284185,0.389309791,1.124266681,0.755613684,2.473510927,1.045236692,0.225445945,0.481878937,1.003105253,5.730069766,0.569093119,2016.25,4,2,1,2800,Duplex,1,1960,0,0,0,3913,28137.29,23,64.44,30.8,5,3.16,14.45,15.12777704,79392
ALLEGHENY,PITTSBURGH,15212,840 SPRING GARDEN AVE,PA,946,40.457668,-79.996341,1.486957945,0.121338152,0.288527503,1.058023086,6.007280117,0.385571976,0.234898623,0.391028763,0.351166357,4.972228643,0.83935179,2016.25,3,1,1,1644,Condo,0,1960,0,0,0,988,23511.65,25,59.52,14.4,5,3.55,13.23,15.12777704,96234
ALLEGHENY,PITTSBURGH,15221,302 WEST ST,PA,1138,40.439001,-79.890926,0.870287581,0.350624971,0.293944455,1.488306575,3.367194582,3.300477353,0.305000699,0.478798858,0.443093956,8.685007445,0.722852694,2015.25,3,1,1,1023,Condo,1,1960,0,0,0,1326,60485.34,55,85.88,26.4,5,3.42,1.68,15.12777704,64988
ALLEGHENY,PITTSBURGH,15229,104 ADELE CT,PA,1950,40.519268,-80.015574,0.654649012,0.550173011,3.019735327,0.652078424,2.903606002,3.672090201,0.526742386,0.391528507,0.985005471,0.855632342,3.937539579,2015.75,3,2,1,1966,Condo,0,1960,0,0,1,2592,61889.32,27,73.81,75.8,5.1,3.57,1.62,2.17291923,193702
ALLEGHENY,PITTSBURGH,15212,917 JAMES ST,PA,2250,40.455515,-80.001583,1.414253139,0.14469595,0.299508919,0.866154766,6.317478957,0.151095642,0.06375108,0.153472,0.054186939,5.100449823,0.813038294,2015.5,4,2,1,1922,SFR,1,1960,0,0,1,1734,23511.65,25,59.52,14.4,5,3.55,13.23,15.12777704,302586
ALLEGHENY,PITTSBURGH,15229,205 FRANKFORT AVE,PA,1090,40.513437,-80.025997,0.625148036,0.675650852,2.472450834,1.321637154,2.613030107,4.069415213,0.383102793,0.291705411,1.52233574,1.51784415,3.785849834,2015.5,2,1,1,1360,SFR,1,1960,0,0,1,3000,61889.32,27,73.81,75.8,5.1,3.57,1.62,2.17291923,102239
ALLEGHENY,PITTSBURGH,15206,400 N NEGLEY AVE,PA,809,40.466745,-79.928182,1.190298803,0.157865022,0.908655192,0.533221309,2.514050075,1.024937331,0.244128906,0.295263257,0.802991099,5.945762567,0.383252499,2015.5,1,1,1,750,NA,1,1960,0,0,0,2872.730796,28137.29,23,64.44,30.8,5,3.16,14.45,15.12777704,158051
ALLEGHENY,PITTSBURGH,15212,3543 CALIFORNIA AVE,PA,1100,40.479454,-80.041298,0.944946611,0.136362509,0.178422716,3.256798376,4.069893277,2.513267455,0.333764024,0.361985281,0.718601681,3.910348384,1.372149021,2016.25,3,1,1,3655,Condo,1,1960,0,0,0,7680,48696.6,21,65.37,55.8,5,3.56,3.9,15.12777704,158051
